644775.067884,889119.976576
644722.790109,889122.777095
644663.977570,889130.245255
644572.491873,889156.384307
644528.615654,889175.054870
644436.196560,889223.598402
644354.045488,889279.610094
644271.895073,889347.757914
644191.611452,889436.443093
644136.533157,889512.059073
644079.588069,889611.013586
644047.641286,889680.290670
644033.225307,889719.777462
644009.408100,889794.363917
643996.245727,889843.878903
643986.217533,889901.542166
643979.322862,889976.755260
643978.069256,890085.814083
643981.405535,890375.587743
643989.477696,891458.518504
643995.396975,892010.411356
643997.254911,892193.441478
644003.710278,892940.495331
644003.710278,893028.737925
643994.099734,893136.201278
643973.131275,893245.412003
643941.678586,893358.991157
643899.904397,893479.726464
643887.029424,893526.472755
643875.164948,893573.476264
643860.408090,893649.865209
643852.161716,893712.799130
643846.519340,893783.111972
643845.217177,893846.479947
643846.942239,894061.765249
643857.109540,895490.084381
643862.668912,895816.694577
643888.077322,896625.559650
643886.341105,896691.966004
643884.605217,896726.254317
643868.546196,896847.347891
643860.299494,896912.018028
643849.657128,896969.969348
643839.761480,897019.448574
643822.973130,897081.288665
643806.914437,897130.767890
643777.400393,897203.250675
643751.352220,897261.466102
643691.155170,897370.133521
643632.522093,897449.875149
643579.730211,897515.855323
643134.361082,897969.725418
642811.101929,898296.217176
642375.351546,898737.547600
642180.256161,898934.162010
640267.739571,900871.594557
639885.058629,901258.815188
639339.284202,901817.452120
639339.284202,901817.452120
639375.172577,901771.950577
639411.419219,901723.701992
639445.730169,901682.493419
639606.644852,901518.059714
639683.554793,901441.670769
639735.811571,901386.809666
639784.423016,901336.809773
639856.297863,901255.559618
640230.777051,900875.177883
640334.910031,900770.977646
640459.249333,900657.816470
641304.735391,899800.524991
642240.150391,898853.344597
642314.066900,898779.083928
642835.288557,898250.299951
642896.280225,898188.385713
643278.602244,897801.258586
643495.868841,897582.554000
643549.483556,897523.528535
643594.622567,897468.667432
643636.983698,897410.333895
643672.400289,897356.861896
643698.789340,897306.167450
643725.123929,897242.528806
643743.140951,897183.973485
643759.786913,897095.621311
643779.219943,896977.297089
643817.407853,896744.774291
643820.227729,895737.911609
643811.442643,895412.863089
643810.652290,894370.097597
643804.667395,893881.519898
